id,repo,provenance,tier,questions,coverage_full_record,coverage_subject_only,record_chars
grafana_grafana__124411,grafana/grafana,agent,substantive,3,0.666667,0,619
grafana_grafana__124842,grafana/grafana,agent,substantive,4,1,0,2473
grafana_grafana__124844,grafana/grafana,agent,substantive,3,0.666667,0,3727
grafana_grafana__125316,grafana/grafana,agent,substantive,3,0.666667,0,551
grafana_grafana__125660,grafana/grafana,human,trivial,3,0,0,55
grafana_grafana__125780,grafana/grafana,agent,substantive,3,0.666667,0.333333,742
grafana_grafana__125811,grafana/grafana,agent,substantive,4,0.5,0,2216
grafana_grafana__125912,grafana/grafana,agent,substantive,3,0,0,740
grafana_grafana__125936,grafana/grafana,agent,substantive,3,1,0,972
grafana_grafana__125945,grafana/grafana,agent,substantive,3,0.666667,0,1547
grafana_grafana__125978,grafana/grafana,agent,substantive,4,0.75,0,1852
grafana_grafana__125986,grafana/grafana,agent,substantive,3,0,0,252
grafana_grafana__126021,grafana/grafana,human,empty,3,0,0,57
grafana_grafana__126104,grafana/grafana,agent,substantive,3,0.666667,0,623
grafana_grafana__126131,grafana/grafana,agent,substantive,3,0,0,289
grafana_grafana__126298,grafana/grafana,human,trivial,3,0,0,135
grafana_grafana__126639,grafana/grafana,agent,substantive,3,0.333333,0,851
grafana_grafana__126808,grafana/grafana,agent,substantive,3,0.666667,0,894
grafana_grafana__126905,grafana/grafana,human,empty,4,0,0,50
grafana_grafana__126927,grafana/grafana,agent,substantive,3,0.666667,0,7277
grafana_grafana__127122,grafana/grafana,agent,substantive,3,0.333333,0,500
grafana_grafana__127128,grafana/grafana,agent,substantive,3,1,0,11945
grafana_grafana__127262,grafana/grafana,agent,substantive,4,0.5,0,5309
grafana_grafana__127392,grafana/grafana,human,trivial,4,0,0,199
grafana_grafana__127455,grafana/grafana,agent,substantive,3,0.333333,0,353
grafana_grafana__127528,grafana/grafana,agent,substantive,3,0.666667,0,2148
grafana_grafana__127698,grafana/grafana,agent,substantive,3,1,0,3244
grafana_grafana__127763,grafana/grafana,agent,substantive,3,0.333333,0,370
grafana_grafana__127828,grafana/grafana,agent,trivial,4,0,0,179
grafana_grafana__128353,grafana/grafana,agent,substantive,3,0.666667,0,705
grafana_grafana__128453,grafana/grafana,agent,substantive,3,0.666667,0,1932
grafana_grafana__128689,grafana/grafana,agent,substantive,3,0.333333,0,188
grafana_grafana__128724,grafana/grafana,agent,substantive,3,1,0,3726
grafana_grafana__129038,grafana/grafana,agent,substantive,3,1,0,287
grafana_grafana__129375,grafana/grafana,human,empty,3,0,0,67
grafana_grafana__129458,grafana/grafana,agent,substantive,3,1,0,747
grafana_grafana__90442,grafana/grafana,human,substantive,3,0,0,368
grafana_grafana__90650,grafana/grafana,human,trivial,3,0,0,156
grafana_grafana__91189,grafana/grafana,human,substantive,3,0,0,1726
grafana_grafana__91932,grafana/grafana,human,trivial,3,0.333333,0,175
grafana_grafana__92223,grafana/grafana,human,trivial,3,0,0,64
grafana_grafana__92598,grafana/grafana,human,substantive,3,0,0,181
grafana_grafana__92673,grafana/grafana,human,substantive,3,0,0,522
grafana_grafana__92807,grafana/grafana,human,trivial,3,0,0,176
grafana_grafana__94424,grafana/grafana,human,substantive,3,0,0,245
grafana_grafana__95629,grafana/grafana,human,trivial,3,0,0,131
grafana_grafana__98593,grafana/grafana,human,substantive,3,0,0,148
grafana_grafana__98727,grafana/grafana,human,empty,3,0,0,34
grafana_grafana__99762,grafana/grafana,human,empty,4,0,0,60
grafana_grafana__99804,grafana/grafana,human,trivial,3,0,0,207
langchain-ai_langchain__25562,langchain-ai/langchain,human,empty,3,0,0,74
langchain-ai_langchain__27946,langchain-ai/langchain,human,substantive,3,0,0,437
langchain-ai_langchain__30451,langchain-ai/langchain,human,substantive,3,0.333333,0,990
langchain-ai_langchain__31858,langchain-ai/langchain,human,trivial,3,0,0,70
langchain-ai_langchain__31913,langchain-ai/langchain,human,substantive,3,1,0,1250
langchain-ai_langchain__32074,langchain-ai/langchain,agent,substantive,3,1,0,1999
langchain-ai_langchain__32162,langchain-ai/langchain,agent,substantive,3,0.333333,0,2316
langchain-ai_langchain__32236,langchain-ai/langchain,agent,substantive,3,0.666667,0,805
langchain-ai_langchain__32910,langchain-ai/langchain,agent,trivial,3,0,0,64
langchain-ai_langchain__33106,langchain-ai/langchain,human,trivial,3,0.333333,0,148
langchain-ai_langchain__33121,langchain-ai/langchain,human,trivial,2,0,0,58
langchain-ai_langchain__33163,langchain-ai/langchain,human,substantive,2,0,0,181
langchain-ai_langchain__33264,langchain-ai/langchain,human,substantive,3,0,0,1198
langchain-ai_langchain__37602,langchain-ai/langchain,human,substantive,3,0.666667,0.333333,499
prisma_prisma__1017,prisma/prisma,agent,substantive,4,1,0,9366
prisma_prisma__1042,prisma/prisma,agent,substantive,3,0.333333,0,2043
prisma_prisma__232,prisma/prisma,agent,substantive,3,1,0,14274
prisma_prisma__797,prisma/prisma,agent,substantive,3,0.333333,0,3117
