repo,source,area,lines_changed,coverage,ci_lo,ci_hi,ci_half_width,commits_scored,questions,questions_explicit,active_recently,corpus_percentile,grey_reason,usable
grafana/grafana,sweep,public/app/features/dashboard,69098,0.32,0.20758044093999403,0.45810557136276076,0.12526256521138335,15,50,16,true,42.616033755274266,,true
grafana/grafana,sweep,public/app/core,63062,0.2553191489361702,0.15253006046383732,0.3950844913992039,0.12127721546768327,15,47,12,true,42.616033755274266,,true
grafana/grafana,sweep,pkg/apis,56041,0.12962962962962962,0.06423639229487982,0.2442198053206771,0.08999170651289864,15,54,7,true,38.39662447257383,,true
langchain-ai/langchain,sweep,libs/langchain_v1,111191,0.391304347826087,0.2639302235524884,0.5354341628235508,0.1357519696355312,15,46,18,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/core/tests,53332,0.37254901960784315,0.2532032972099011,0.5097503729966575,0.1282735378933782,15,51,19,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/partners/openai,43550,0.45652173913043476,0.32154510421121985,0.5982006503391957,0.1383277730639879,15,46,21,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/langchain,38851,0.2653061224489796,0.1621113124514944,0.4026255615265835,0.12025712453754456,15,49,13,true,42.616033755274266,,true
langchain-ai/langchain,sweep,libs/model-profiles,33572,0.5434782608695652,0.4017993496608042,0.67845489578878,0.1383277730639879,15,46,25,true,63.71308016877637,,true
langchain-ai/langchain,sweep,libs/partners/anthropic,31678,0.43478260869565216,0.3020904595919057,0.5775281722337178,0.13771885632090602,15,46,20,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/partners,27335,0.2391304347826087,0.13912036561131397,0.37935416169118025,0.12011689803993314,15,46,11,false,38.39662447257383,,true
langchain-ai/langchain,sweep,libs/partners/openrouter,26292,0.2558139534883721,0.14929365877065542,0.40238689868254857,0.12654661995594657,15,43,11,true,42.616033755274266,,true
langchain-ai/langchain,sweep,libs/standard-tests,21034,0.4166666666666667,0.28849459734577015,0.5571891778463536,0.1343472902502917,15,48,20,true,59.07172995780591,,true
langchain-ai/langchain,sweep,.github,16525,0.375,0.2422277353579172,0.529678399454681,0.1437253320483819,15,40,15,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/core/langchain_core/runnables,14356,0.2708333333333333,0.16565803561632889,0.40997234616201117,0.12215715527284114,15,48,13,true,42.616033755274266,,true
langchain-ai/langchain,sweep,libs/core/langchain_core/messages,14024,0.1509433962264151,0.07852324257781651,0.2705450454365954,0.09601090142938945,15,53,8,true,38.39662447257383,,true
langchain-ai/langchain,sweep,libs/partners/ollama,11029,0.3617021276595745,0.2396602228576844,0.5046436542822955,0.13249171571230556,15,47,17,false,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/core/langchain_core/language_models,10236,0.2549019607843137,0.1554562324126639,0.38868544106148706,0.11661460432441158,15,51,13,true,42.616033755274266,,true
langchain-ai/langchain,sweep,libs/text-splitters,9406,0.3333333333333333,0.21358692207276764,0.479297831907446,0.1328554549173392,15,45,15,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/partners/fireworks,7773,0.3695652173913043,0.24523559514309495,0.5140016685081521,0.13438303668252857,15,46,17,true,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/partners/perplexity,7379,0.3673469387755102,0.24664982524781226,0.5073318861311014,0.13034103044164455,15,49,18,false,59.07172995780591,,true
langchain-ai/langchain,sweep,libs/partners/groq,7140,0.5111111111111111,0.3700422432648975,0.6504321064697549,0.1401949316024287,15,45,23,true,63.71308016877637,,true
langchain-ai/langchain,sweep,libs/core/langchain_core,6568,0.1568627450980392,0.08169125888021325,0.2801070839835982,0.09920791255169246,15,51,8,true,38.39662447257383,,true
langchain-ai/langchain,sweep,libs/core/langchain_core/utils,6160,0.21568627450980393,0.12493811244188556,0.3462662287881296,0.11066405817312203,15,51,11,true,38.39662447257383,,true
vercel/next.js,sweep,packages/next/src/compiled,3656558,0.12244897959183673,0.057347477598098245,0.2424466240188096,0.09254957321035567,15,49,6,true,38.39662447257383,,true
vercel/next.js,sweep,turbopack/crates/turbopack-ecmascript,565339,0.2127659574468085,0.11989580124247315,0.34904302050979275,0.1145736096336598,15,47,10,true,38.39662447257383,,true
vercel/next.js,sweep,test/e2e,359484,0.5217391304347826,0.38137172148151327,0.6587554012432788,0.13869183988088277,15,46,24,true,63.71308016877637,,true
vercel/next.js,sweep,test,252624,0.14,0.06950745262022862,0.2618645719852809,0.09617855968252614,15,50,7,true,38.39662447257383,,true
vercel/next.js,sweep,packages/next/src/server,219380,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
vercel/next.js,sweep,crates,207590,0.3111111111111111,0.19528525463541907,0.4566507998754897,0.1306827726200353,15,45,14,true,42.616033755274266,,true
vercel/next.js,sweep,turbopack/crates,200836,0.46808510638297873,0.33331462168462633,0.6076785807322921,0.13718197952383288,15,47,22,true,59.07172995780591,,true
vercel/next.js,sweep,packages/next/src/client,132700,0.3191489361702128,0.2039520381739899,0.4616761088552146,0.12886203534061236,15,47,15,true,42.616033755274266,,true
vercel/next.js,sweep,turbopack/crates/turbopack-tests,102276,0.34,0.2243676963506106,0.47846431458517147,0.12704830911728043,15,50,17,true,59.07172995780591,,true
vercel/next.js,sweep,test/development,101649,0.425531914893617,0.2951341600182584,0.5671833122878847,0.13602457613481314,15,47,20,true,59.07172995780591,,true
vercel/next.js,sweep,docs,98431,0.35714285714285715,0.22988992501626865,0.5083391071292063,0.1392245910564688,15,42,15,true,59.07172995780591,,true
vercel/next.js,sweep,turbopack/crates/turbo-tasks-backend,79808,0.3333333333333333,0.2167660137089678,0.47460153667527943,0.1289177614831558,15,48,16,true,59.07172995780591,,true
vercel/next.js,sweep,turbopack/crates/turbopack-core,62798,0.2653061224489796,0.1621113124514944,0.4026255615265835,0.12025712453754456,15,49,13,true,42.616033755274266,,true
vercel/next.js,sweep,packages/next/src/next-devtools,46311,0.425531914893617,0.2951341600182584,0.5671833122878847,0.13602457613481314,15,47,20,true,59.07172995780591,,true
vercel/next.js,sweep,test/production,45549,0.3541666666666667,0.23433457112685735,0.4956120354593591,0.13063873216625088,15,48,17,true,59.07172995780591,,true
vercel/next.js,sweep,examples,44281,0.20930232558139536,0.11422705997811457,0.35205931794236645,0.11891612898212595,15,43,9,true,38.39662447257383,,true
vercel/next.js,sweep,turbopack/crates/turbo-tasks,42840,0.3673469387755102,0.24664982524781226,0.5073318861311014,0.13034103044164455,15,49,18,true,59.07172995780591,,true
vercel/next.js,sweep,(root),35273,0.1875,0.10191276348200173,0.31940139348846214,0.1087443150032302,15,48,9,true,38.39662447257383,,true
vercel/next.js,sweep,packages/next-codemod,24065,0.28888888888888886,0.1772991803190016,0.43368817472260224,0.12819449720180032,15,45,13,true,42.616033755274266,,true
vercel/next.js,sweep,packages/next,22947,0.42857142857142855,0.3002310889895705,0.5672975248298444,0.13353321792013695,15,49,21,true,59.07172995780591,,true
prisma/prisma,sweep,examples,450420,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.13631222347591299,15,45,28,true,63.71308016877637,,true
prisma/prisma,sweep,projects,356681,0.5714285714285714,0.4327024751701555,0.6997689110104294,0.13353321792013695,15,49,28,true,63.71308016877637,,true
prisma/prisma,sweep,packages/1-framework/3-tooling,245494,0.6590909090909091,0.5113886797193951,0.7812436737136005,0.1349274969971027,15,44,29,true,63.71308016877637,,true
prisma/prisma,sweep,packages/3-extensions,223775,0.6304347826086957,0.48599833149184785,0.7547644048569049,0.13438303668252852,15,46,29,true,63.71308016877637,,true
prisma/prisma,sweep,packages/3-targets,212775,0.5,0.36644286412332855,0.6335571358766714,0.13355713587667142,15,50,25,true,61.39240506329114,,true
prisma/prisma,sweep,test,168191,0.5777777777777777,0.433005327959445,0.7103151201831219,0.13865489611183845,15,45,26,true,63.71308016877637,,true
prisma/prisma,sweep,docs,144359,0.574468085106383,0.43281668771211546,0.7048658399817417,0.1360245761348131,15,47,27,true,63.71308016877637,,true
prisma/prisma,sweep,packages/2-sql/4-lanes,95768,0.5918367346938775,0.4524706997204626,0.7178496539402894,0.1326894771099134,15,49,29,true,63.71308016877637,,true
prisma/prisma,sweep,packages/2-mongo-family,87096,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
prisma/prisma,sweep,packages/2-sql/2-authoring,80484,0.5918367346938775,0.4524706997204626,0.7178496539402894,0.1326894771099134,15,49,29,true,63.71308016877637,,true
prisma/prisma,sweep,packages/1-framework/1-core,59725,0.7659574468085106,0.6277546774315923,0.8639686357607541,0.1181069791645809,15,47,36,true,86.49789029535864,,true
prisma/prisma,sweep,packages/1-framework/2-authoring,49490,0.5,0.36389098932037767,0.6361090106796223,0.13610901067962233,15,48,24,true,61.39240506329114,,true
prisma/prisma,sweep,skills-contrib,41758,0.5957446808510638,0.45341868236312644,0.7236017103861182,0.13509151401149588,15,47,28,true,63.71308016877637,,true
prisma/prisma,sweep,packages/3-mongo-target,37391,0.7,0.562493877226366,0.8089661091039063,0.12323611593877015,15,50,35,true,82.13783403656821,,true
prisma/prisma,sweep,packages/2-sql/5-runtime,35791,0.46808510638297873,0.33331462168462633,0.6076785807322921,0.13718197952383288,15,47,22,true,59.07172995780591,,true
prisma/prisma,sweep,packages/2-sql/9-family,33905,0.673469387755102,0.5337894368740628,0.7879267867073578,0.12706867491664753,15,49,33,true,82.13783403656821,,true
prisma/prisma,sweep,packages/2-sql/3-tooling,30812,0.5208333333333334,0.3832899563598438,0.6552890998421255,0.13599957174114083,15,48,25,true,63.71308016877637,,true
prisma/prisma,sweep,packages/2-sql/1-core,25704,0.7111111111111111,0.5663118252773978,0.8227008196809984,0.12819449720180032,15,45,32,true,82.13783403656821,,true
prisma/prisma,sweep,scripts,25504,0.8541666666666666,0.7283255295714138,0.9275184258620602,0.0995964481453232,15,48,41,true,86.49789029535864,,true
prisma/prisma,sweep,(root),24520,0.5531914893617021,0.41245213738758246,0.685892525250887,0.13672019393165225,15,47,26,true,63.71308016877637,,true
facebook/react,sweep,compiler/packages/babel-plugin-react-compiler,171554,0.2916666666666667,0.18241416061863377,0.43179527736167544,0.12469055837152083,15,48,14,true,42.616033755274266,,true
facebook/react,sweep,packages/react-reconciler,60089,0.3673469387755102,0.24664982524781226,0.5073318861311014,0.13034103044164455,15,49,18,true,59.07172995780591,,true
facebook/react,sweep,packages/react-devtools-shared,52666,0.3409090909090909,0.21875632628639946,0.4886113202806049,0.1349274969971027,15,44,15,true,59.07172995780591,,true
facebook/react,sweep,packages/react-dom,45096,0.3673469387755102,0.24664982524781226,0.5073318861311014,0.13034103044164455,15,49,18,true,59.07172995780591,,true
facebook/react,sweep,packages/react-server,29919,0.5106382978723404,0.37242217589372884,0.6472467566339649,0.13741229037011804,15,47,24,true,63.71308016877637,,true
facebook/react,sweep,compiler,27747,0.22448979591836735,0.1302483771472861,0.35879056187045744,0.11427109236158567,15,49,11,true,38.39662447257383,,true
facebook/react,sweep,(root),15377,0.32653061224489793,0.21207321329264214,0.4662105631259371,0.12706867491664747,15,49,16,true,42.616033755274266,,true
facebook/react,sweep,packages/react-client,12926,0.3617021276595745,0.2396602228576844,0.5046436542822955,0.13249171571230556,15,47,17,true,59.07172995780591,,true
facebook/react,sweep,packages,12832,0.3333333333333333,0.22241243520150356,0.466392853725497,0.12199020926199672,15,54,18,true,59.07172995780591,,true
facebook/react,sweep,packages/react-server-dom-webpack,11821,0.32653061224489793,0.21207321329264214,0.4662105631259371,0.12706867491664747,15,49,16,true,42.616033755274266,,true
facebook/react,sweep,packages/react-dom-bindings,10701,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
facebook/react,sweep,packages/react-native-renderer,10126,0.3181818181818182,0.19999129931673562,0.46557172533126934,0.13279021300726684,15,44,14,true,42.616033755274266,,true
facebook/react,sweep,fixtures,9444,0.42,0.2937479723456693,0.5576680331222217,0.1319600303882762,15,50,21,true,59.07172995780591,,true
facebook/react,sweep,packages/react,8032,0.2765957446808511,0.16936405991152936,0.41758835700689967,0.12411214854768515,15,47,13,true,42.616033755274266,,true
facebook/react,sweep,packages/eslint-plugin-react-hooks/src,6757,0.13636363636363635,0.0640286740786005,0.2670973752174096,0.10153435056940456,15,44,6,true,38.39662447257383,,true
facebook/react,sweep,scripts,5869,0.1956521739130435,0.10650490444121799,0.331715377411692,0.112605236485237,15,46,9,true,38.39662447257383,,true
facebook/react,sweep,compiler/apps,5868,0.15217391304347827,0.07572186234017478,0.28224417406315094,0.10326115586148808,15,46,7,false,38.39662447257383,,true
facebook/react,sweep,.github,5282,0.29545454545454547,0.18155360887243294,0.4422047938565727,0.13032559249206987,15,44,13,true,42.616033755274266,,true
facebook/react,sweep,packages/react-server-dom-turbopack,4970,0.375,0.2521507240406812,0.5163749387475043,0.13211210735341156,15,48,18,true,59.07172995780591,,true
facebook/react,sweep,compiler/packages/snap,4934,0.2,0.10896004402509006,0.3382325131392944,0.11463623455710217,14,45,9,true,38.39662447257383,,true
strapi/strapi,sweep,packages/core/content-manager/admin,49910,0.45652173913043476,0.32154510421121985,0.5982006503391957,0.1383277730639879,15,46,21,true,59.07172995780591,,true
strapi/strapi,sweep,packages/core/upload/admin,48368,0.32,0.20758044093999403,0.45810557136276076,0.12526256521138335,15,50,16,true,42.616033755274266,,true
strapi/strapi,sweep,tests/api,43768,0.4897959183673469,0.3557488315940086,0.6253266846659078,0.1347889265359496,15,49,24,true,59.07172995780591,,true
strapi/strapi,sweep,packages/core/core,40060,0.21739130434782608,0.12260774618580751,0.35573965839189464,0.11656595610304357,15,46,10,true,38.39662447257383,,true
strapi/strapi,sweep,packages/core/content-type-builder/admin,39300,0.17647058823529413,0.095722957258099,0.30254405172778037,0.1034105472348407,15,51,9,true,38.39662447257383,,true
strapi/strapi,sweep,tests/e2e,29805,0.32075471698113206,0.210920445893403,0.45481732362751115,0.12194843886705407,15,53,17,true,42.616033755274266,,true
strapi/strapi,sweep,packages/core/content-manager/server,21106,0.29411764705882354,0.1870856524031203,0.42999335331516647,0.12145385045602308,15,51,15,true,42.616033755274266,,true
strapi/strapi,sweep,examples,17870,0.18867924528301888,0.10585211943149554,0.31358716447325025,0.10386752252087736,15,53,10,true,38.39662447257383,,true
strapi/strapi,sweep,packages/providers,16318,0.24444444444444444,0.14235335025509283,0.3867366058479013,0.12219162779640425,15,45,11,true,38.39662447257383,,true
strapi/strapi,sweep,packages/core/admin/admin/src/pages,15566,0.39215686274509803,0.27027144858027696,0.5291508877483494,0.12943971958403622,15,51,20,true,59.07172995780591,,true
strapi/strapi,sweep,packages/core/admin/admin/src/components,15546,0.5,0.3611870167007236,0.6388129832992764,0.13881298329927638,15,46,23,true,61.39240506329114,,true
strapi/strapi,sweep,packages/core/admin/server,15427,0.46938775510204084,0.33703281897894777,0.6061937298008014,0.13458045541092684,15,49,23,true,59.07172995780591,,true
strapi/strapi,sweep,packages/core/admin/admin/src/translations,15054,0.17647058823529413,0.095722957258099,0.30254405172778037,0.1034105472348407,15,51,9,true,38.39662447257383,,true
strapi/strapi,sweep,packages/core/strapi,13249,0.6458333333333334,0.5043879645406409,0.7656654288731427,0.13063873216625088,15,48,31,true,63.71308016877637,,true
strapi/strapi,sweep,packages/plugins/i18n,11725,0.2553191489361702,0.15253006046383732,0.3950844913992039,0.12127721546768327,15,47,12,true,42.616033755274266,,true
strapi/strapi,sweep,packages/core/data-transfer,11465,0.28,0.17474014357680362,0.4166538714598967,0.12095686394154653,15,50,14,true,42.616033755274266,,true
strapi/strapi,sweep,packages/core/utils,11420,0.23404255319148937,0.13603136423924592,0.3722453225684077,0.11810697916458089,15,47,11,true,38.39662447257383,,true
strapi/strapi,sweep,packages/core/database,8717,0.25,0.1492048880971003,0.3878464374792707,0.11932077469108521,15,48,12,true,40.50632911392405,,true
strapi/strapi,sweep,packages/utils,8594,0.2653061224489796,0.1621113124514944,0.4026255615265835,0.12025712453754456,15,49,13,true,42.616033755274266,,true
strapi/strapi,sweep,.github,8534,0.24444444444444444,0.14235335025509283,0.3867366058479013,0.12219162779640425,15,45,11,true,38.39662447257383,,true
supabase/supabase,sweep,apps/docs,5816152,0.2826086956521739,0.1732404154491407,0.42548835730293777,0.12612397092689853,15,46,13,true,42.616033755274266,,true
supabase/supabase,sweep,apps/www,289083,0.17777777777777778,0.0929427892585383,0.3133010684365414,0.11017913958900154,15,45,8,true,38.39662447257383,,true
supabase/supabase,sweep,packages,263857,0.2857142857142857,0.1784943493972417,0.4240914920610033,0.12279857133188078,15,49,14,true,42.616033755274266,,true
supabase/supabase,sweep,apps/studio/public,103118,0.16326530612244897,0.08512596988208977,0.29036606669515236,0.1026200484065313,15,49,8,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/pages,81560,0.18,0.0977008273245379,0.3079631945470261,0.1051311836112441,15,50,9,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/data,78162,0.22,0.12753786224302288,0.35241815689459555,0.11244014732578633,15,50,11,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Database,74163,0.20408163265306123,0.11481727042813811,0.33637270110943834,0.11077771534065012,15,49,10,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/components/ui,70760,0.3125,0.19945512167731494,0.4533333725049633,0.12693912541382418,15,48,15,true,42.616033755274266,,true
supabase/supabase,sweep,apps/studio/components/layouts,66623,0.2916666666666667,0.18241416061863377,0.43179527736167544,0.12469055837152083,15,48,14,true,42.616033755274266,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Auth,64578,0.21568627450980393,0.12493811244188556,0.3462662287881296,0.11066405817312203,15,51,11,true,38.39662447257383,,true
supabase/supabase,sweep,apps/ui-library,57264,0.0425531914893617,0.01174802937056972,0.1424878719385944,0.06536992128401234,15,47,2,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Integrations,56942,0.3673469387755102,0.24664982524781226,0.5073318861311014,0.13034103044164455,15,49,18,true,59.07172995780591,,true
supabase/supabase,sweep,apps/design-system,56441,0.2830188679245283,0.17966135362950314,0.4157054200010772,0.11802203318578702,15,53,15,true,42.616033755274266,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Settings,56099,0.1956521739130435,0.10650490444121799,0.331715377411692,0.112605236485237,15,46,9,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Organization,51728,0.23404255319148937,0.13603136423924592,0.3722453225684077,0.11810697916458089,15,47,11,true,38.39662447257383,,true
supabase/supabase,sweep,apps/studio/components/interfaces/Storage,40963,0.32608695652173914,0.20865764564493358,0.47032537255672924,0.13083386345589781,15,46,15,true,42.616033755274266,,true
supabase/supabase,sweep,apps/studio/lib,36127,0.26,0.15871379651367384,0.3955342198899992,0.11841021168816268,15,50,13,true,42.616033755274266,,true
